Champ,"Objet / Onglet","Sens du flux","API Name (source)","Data Type (source)",Required,"Values (Picklist, Formula)","A interfacer",Synchro,"Cible existante","Field Label (cible)","API Name (cible)",Commentaires
"Adresse expédition 3 (Région/Province)","Comptes-Salesforce vers Codial",,Adresse_expedition_3__StateCode__s,Picklist,false,,"❌ Non",,"Champ à créer",,,
"Adresse expédition 3 (Pays/territoire)","Comptes-Salesforce vers Codial",,Adresse_expedition_3__CountryCode__s,Picklist,false,,"❌ Non",,"Champ à créer",,,
"Nom d'expédition","Comptes-Salesforce vers Codial",,Nom_d_expedition__c,Text,false,,"❌ Non",,,,,
"Appartenance client","Comptes-Salesforce vers Codial",,Appartenance_client__c,Picklist,false,"AdLucem®;AdLucem Création®","❌ Non",,,,,
"Adresse expédition 3 (Longitude)","Comptes-Salesforce vers Codial",,Adresse_expedition_3__Longitude__s,"Number (3, 15)",false,,"❌ Non",,"Champ à créer",,,
"Pays d'expédition","Comptes-Salesforce vers Codial","Salesforce => Codial",ShippingCountry,Text,false,,"❌ Non",Création,"Champ existant","Pays d'expédition",CODE_PAYS_LIV,
"Nom du compte","Comptes-Salesforce vers Codial","Salesforce => Codial",Name,Text,true,,"✅ Oui",Création,"Champ existant",Nom,,
"Type du compte","Comptes-Salesforce vers Codial","Salesforce => Codial",Type,Picklist,false,Prospect;Prescripteur;Applicateur;Client;Fournisseur;Autre,"❌ Non",,,,,
"Adresse de facturation","Comptes-Salesforce vers Codial","Salesforce => Codial",BillingAddress,Address,false,,"❌ Non",Création,"Champ existant","Adresse Facturation",ADRESSE1,
"Rue de facturation","Comptes-Salesforce vers Codial","Salesforce => Codial",BillingStreet,"Text Area",false,,"✅ Oui",Création,"Champ existant",,adresse_facturation,
"Ville de facturation","Comptes-Salesforce vers Codial","Salesforce => Codial",BillingCity,Text,false,,"✅ Oui",Création,"Champ existant","Ville de facturation",VILLE,
"Code postal de facturation","Comptes-Salesforce vers Codial","Salesforce => Codial",BillingPostalCode,Text,false,,"✅ Oui",Création,"Champ existant","Code postal facturation",COP,
"Pays de facturation","Comptes-Salesforce vers Codial","Salesforce => Codial",BillingCountry,Text,false,,"✅ Oui",Création,"Champ existant","Pays de facturation",CODE_PAYS_FACT,
"Latitude de l'adresse de facturation","Comptes-Salesforce vers Codial","Salesforce => Codial",BillingLatitude,"Number (3, 15)",false,,"❌ Non",Création,"Champ existant",Latitude,LATITUDE,
"Longitude de l'adresse de facturation","Comptes-Salesforce vers Codial","Salesforce => Codial",BillingLongitude,"Number (3, 15)",false,,"❌ Non",Création,"Champ existant",Longitude,LONGITUDE,
"Rue d'expédition","Comptes-Salesforce vers Codial","Salesforce => Codial",ShippingStreet,"Text Area",false,,"❌ Non",Création,"Champ existant",,,
"Adresse d'expédition","Comptes-Salesforce vers Codial","Salesforce => Codial",ShippingAddress,Address,false,,"❌ Non",Création,"Champ existant","Adresse livraison",TE5,
"Ville d'expédition","Comptes-Salesforce vers Codial","Salesforce => Codial",ShippingCity,Text,false,,"❌ Non",Création,"Champ existant","Ville de livraison",TE7,
"Code postal d'expédition","Comptes-Salesforce vers Codial","Salesforce => Codial",ShippingPostalCode,Text,false,,"❌ Non",Création,"Champ existant","Code postal livraison",TE10,
"N° de téléphone du compte","Comptes-Salesforce vers Codial","Salesforce => Codial",Phone,Phone,false,,"✅ Oui",Création,"Champ existant",Téléphone,TEL,
"Produits utilisés","Comptes-Salesforce vers Codial",,Produits_utilises__c,"Picklist (Multi-Select)",false,LucemChoc®;Terrazzo,"❌ Non",,,,,
"Site Web","Comptes-Salesforce vers Codial","Salesforce => Codial",Website,URL,false,,"✅ Oui",Création,"Champ existant",Site,SITE_WEB,
Métier,"Comptes-Salesforce vers Codial","Salesforce => Codial",Industry,Picklist,false,"Agenceur;Architecte;Carreleur;Chapiste;Cuisiniste;Décorateur;Économiste;Entreprise générale (TCE);Maçon;Maître d'Oeuvre;Marbrier;Peintre;Ponçeur;Résineux;Solier;Autre","✅ Oui",Création/Modification,"Champ existant","Branche d'activité",METIER,
Commentaires,"Comptes-Salesforce vers Codial","Salesforce => Codial",Description,"Long Text Area",false,,"❌ Non",Création/Modification,"Champ existant",Commentaire,COMM,
"Date de création","Comptes-Salesforce vers Codial","Salesforce => Codial",CreatedDate,Date/Time,true,,"❌ Non",Création,"Champ existant","Date de création",DATE_CREATION,
